index,sentence,imagefolder,pic,imagepath,correct,trialcondition,List,sentence_font,cq_no,cq_yes,comprehension_no,comprehension_yes,yes_font,no_font
0,A porcelain figure came in contact with a falling brick.,PICTURES/,figureS.jpg,PICTURES/figureS.jpg,Y,Heavy_Smashed_Focus,3,<p style='font-size:36px;'>A porcelain figure came in contact with a falling brick.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
1,A piece of cake came in contact with a falling brick.,PICTURES/,cakeS.jpg,PICTURES/cakeS.jpg,Y,Heavy_Smashed_Focus,3,<p style='font-size:36px;'>A piece of cake came in contact with a falling brick.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
2,An empty can of beer came in contact with a falling brick.,PICTURES/,canS.jpg,PICTURES/canS.jpg,Y,Heavy_Smashed_Focus,3,<p style='font-size:36px;'>An empty can of beer came in contact with a falling brick.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
3,A cracker came in contact with a falling brick.,PICTURES/,crackerS.jpg,PICTURES/crackerS.jpg,Y,Heavy_Smashed_Focus,3,<p style='font-size:36px;'>A cracker came in contact with a falling brick.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
4,A wine glass came in contact with a falling brick.,PICTURES/,wineglassS.jpg,PICTURES/wineglassS.jpg,Y,Heavy_Smashed_Focus,3,<p style='font-size:36px;'>A wine glass came in contact with a falling brick.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
5,An egg came in contact with a falling brick.,PICTURES/,eggN.jpg,PICTURES/eggN.jpg,Y,Heavy_Normal_Focus,3,<p style='font-size:36px;'>An egg came in contact with a falling brick.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
6,A blueberry came in contact with a falling brick.,PICTURES/,blueberryN.jpg,PICTURES/blueberryN.jpg,Y,Heavy_Normal_Focus,3,<p style='font-size:36px;'>A blueberry came in contact with a falling brick.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
7,A banana came in contact with a falling brick.,PICTURES/,bananaN.jpg,PICTURES/bananaN.jpg,Y,Heavy_Normal_Focus,3,<p style='font-size:36px;'>A banana came in contact with a falling brick.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
8,A teapot came in contact with a falling brick.,PICTURES/,teapotN.jpg,PICTURES/teapotN.jpg,Y,Heavy_Normal_Focus,3,<p style='font-size:36px;'>A teapot came in contact with a falling brick.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
9,A mango came in contact with a falling brick.,PICTURES/,mangoN.jpg,PICTURES/mangoN.jpg,Y,Heavy_Normal_Focus,3,<p style='font-size:36px;'>A mango came in contact with a falling brick.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
