index,sentence,imagefolder,pic,imagepath,correct,trialcondition,List,sentence_font,cq_no,cq_yes,comprehension_no,comprehension_yes,yes_font,no_font
0,A falling feather came in contact with a porcelain figure.,PICTURES/,figureN.jpg,PICTURES/figureN.jpg,Y,Light_Normal_NotFocus,6,<p style='font-size:36px;'>A falling feather came in contact with a porcelain figure.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
1,A falling feather came in contact with a piece of cake,PICTURES/,cakeN.jpg,PICTURES/cakeN.jpg,Y,Light_Normal_NotFocus,6,<p style='font-size:36px;'>A falling feather came in contact with a piece of cake</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
2,A falling feather came in contact with an empty can of beer.,PICTURES/,canN.jpg,PICTURES/canN.jpg,Y,Light_Normal_NotFocus,6,<p style='font-size:36px;'>A falling feather came in contact with an empty can of beer.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
3,A falling feather came in contact with a cracker.,PICTURES/,crackerN.jpg,PICTURES/crackerN.jpg,Y,Light_Normal_NotFocus,6,<p style='font-size:36px;'>A falling feather came in contact with a cracker.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
4,A falling feather came in contact with a wine glass.,PICTURES/,wineglassN.jpg,PICTURES/wineglassN.jpg,Y,Light_Normal_NotFocus,6,<p style='font-size:36px;'>A falling feather came in contact with a wine glass.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
5,A falling feather came in contact with an egg.,PICTURES/,eggS.jpg,PICTURES/eggS.jpg,Y,Light_Smashed_NotFocus,6,<p style='font-size:36px;'>A falling feather came in contact with an egg.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
6,A falling feather came in contact with a blueberry.,PICTURES/,blueberryS.jpg,PICTURES/blueberryS.jpg,Y,Light_Smashed_NotFocus,6,<p style='font-size:36px;'>A falling feather came in contact with a blueberry.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
7,A falling feather came in contact with a banana.,PICTURES/,bananaS.jpg,PICTURES/bananaS.jpg,Y,Light_Smashed_NotFocus,6,<p style='font-size:36px;'>A falling feather came in contact with a banana.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
8,A falling feather came in contact with a teapot.,PICTURES/,teapotS.jpg,PICTURES/teapotS.jpg,Y,Light_Smashed_NotFocus,6,<p style='font-size:36px;'>A falling feather came in contact with a teapot.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
9,A falling feather came in contact with a mango.,PICTURES/,mangoS.jpg,PICTURES/mangoS.jpg,Y,Light_Smashed_NotFocus,6,<p style='font-size:36px;'>A falling feather came in contact with a mango.</p>,Was NA mentioned in the previous sentence?,Was NA mentioned in the previous sentence?,NA,NA,<p style='font-size:30px; color: #508AB0; '>Was NA mentioned in the previous sentence?</p>,<p style='font-size:30px;color: #508AB0;'>Was NA mentioned in the previous sentence?</p>
